split,zero_output,linear_in_input,constant_output
19,8,31,0
23,102,54,0
56,177,171,86
26,11,21,0
7,128,44,0
32,188,134,136
12,15,31,0
23,95,61,0
53,187,162,88
18,12,28,0
27,77,75,0
60,205,183,42
26,8,24,0
18,131,30,0
45,169,119,157
14,13,31,0
22,107,50,0
87,159,169,75
25,7,26,0
20,87,72,0
63,206,199,22
16,16,26,0
18,94,67,0
51,187,166,86
17,13,28,0
20,91,68,0
56,194,181,59
18,16,24,0
29,69,81,0
82,206,188,14
20,14,24,0
14,88,77,0
55,200,200,35
16,14,28,0
19,103,57,0
62,178,153,97
22,6,30,0
10,136,33,0
47,168,107,168
11,15,32,0
24,83,72,0
68,182,199,41
25,6,27,0
21,79,79,0
76,190,178,46
22,11,25,0
10,129,40,0
45,171,134,140
15,12,31,0
32,74,73,0
107,169,172,42
32,7,19,0
17,105,57,0
67,172,144,107
17,14,27,0
28,86,65,0
65,177,195,53
24,6,28,0
23,100,56,0
53,184,163,90
28,8,22,0
12,91,76,0
48,203,170,69
22,11,25,0
22,84,73,0
67,195,162,66
26,8,24,0
19,42,118,0
58,221,197,14
22,14,22,0
17,109,53,0
42,181,186,81
15,16,27,0
18,101,60,0
59,188,162,81
25,5,28,0
20,28,131,0
63,246,178,3
11,24,23,0
22,79,78,0
64,205,188,33
23,9,26,0
17,71,91,0
49,204,194,43
23,10,25,0
29,101,49,0
83,163,176,68
32,3,23,0
26,73,80,0
66,195,198,31
20,13,25,0
23,83,73,0
75,185,183,47
22,13,23,0
28,58,93,0
62,206,204,18
22,9,27,0
14,80,85,0
57,198,173,62
16,14,28,0
22,75,82,0
50,206,178,56
20,10,28,0
17,56,106,0
71,209,192,18
23,15,20,0
14,70,95,0
56,214,166,54
25,10,23,0
12,60,107,0
46,224,204,16
13,16,29,0
18,96,65,0
59,184,189,58
21,13,24,0
19,78,82,0
77,199,204,10
20,16,22,0
20,92,67,0
54,194,187,55
22,13,23,0
12,122,45,0
36,186,139,129
13,14,31,0
25,102,52,0
78,169,175,68
21,12,25,0
29,83,67,0
62,196,183,49
17,11,30,0
29,73,77,0
83,186,172,49
22,11,25,0
6,84,89,0
60,213,192,25
13,19,26,0
22,101,56,0
55,169,190,76
16,11,31,0
8,81,90,0
43,219,167,61
17,16,25,0
12,56,111,0
53,223,183,31
17,13,28,0
17,69,93,0
64,205,185,36
14,15,29,0
22,76,81,0
57,197,191,45
27,9,22,0
13,69,97,0
60,214,176,40
16,20,22,0
24,72,83,0
82,186,183,39
24,7,27,0
24,81,74,0
65,187,185,53
20,19,19,0
11,78,90,0
52,204,186,48
20,13,25,0
12,76,91,0
52,210,190,38
19,15,24,0
27,70,82,0
73,191,180,46
23,9,26,0
17,111,51,0
56,171,166,97
19,5,34,0
22,85,72,0
67,196,174,53
16,15,27,0
10,140,29,0
48,158,113,171
13,11,34,0
28,52,99,0
56,216,195,23
24,11,23,0
15,76,88,0
49,207,187,47
17,18,23,0
18,120,41,0
