split,zero_output,linear_in_input,constant_output
35,51,88,0
125,295,346,14
39,10,20,0
25,70,79,0
114,289,336,41
17,13,39,0
21,68,85,0
129,276,331,44
27,7,35,0
29,52,93,0
132,313,327,8
19,18,32,0
14,63,97,0
106,316,323,35
25,9,35,0
20,54,100,0
120,311,322,27
21,14,34,0
26,89,59,0
119,269,355,37
28,13,28,0
31,72,71,0
117,297,359,7
27,15,27,0
21,84,69,0
117,260,355,48
31,9,29,0
18,111,45,0
81,260,332,107
17,10,42,0
27,95,52,0
147,238,338,57
28,7,34,0
33,74,67,0
130,277,323,50
27,13,29,0
30,72,72,0
154,260,331,35
28,9,32,0
25,69,80,0
126,294,352,8
22,21,26,0
29,89,56,0
99,259,374,48
34,5,30,0
17,69,88,0
83,308,341,48
17,14,38,0
11,56,107,0
83,326,348,23
27,15,27,0
17,63,94,0
126,289,329,36
28,12,29,0
23,71,80,0
135,274,346,25
30,10,29,0
19,60,95,0
109,308,335,28
23,12,34,0
39,58,77,0
141,272,346,21
32,7,30,0
30,70,74,0
112,291,345,32
17,17,35,0
18,73,83,0
93,307,358,22
28,10,31,0
24,67,83,0
132,297,333,18
18,17,34,0
29,61,84,0
154,263,335,28
31,9,29,0
19,101,54,0
146,222,339,73
32,2,35,0
27,74,73,0
125,270,360,25
27,10,32,0
11,132,31,0
94,229,251,206
19,7,43,0
27,45,102,0
139,274,345,22
31,7,31,0
20,67,87,0
94,298,358,30
20,12,37,0
23,111,40,0
94,242,301,143
14,12,43,0
15,91,68,0
107,288,356,29
27,13,29,0
24,87,63,0
128,261,341,50
20,13,36,0
38,64,72,0
142,272,333,33
23,11,35,0
16,120,38,0
83,246,320,131
15,12,42,0
23,85,66,0
118,264,335,63
25,7,37,0
19,106,49,0
105,257,323,95
16,15,38,0
25,108,41,0
123,243,312,102
22,15,32,0
23,91,60,0
125,256,346,53
20,8,41,0
33,67,74,0
142,272,344,22
36,12,21,0
25,71,78,0
140,275,344,21
32,6,31,0
24,78,72,0
125,259,352,44
26,9,34,0
23,94,57,0
111,250,353,66
29,3,37,0
16,125,33,0
71,244,312,153
20,7,42,0
26,91,57,0
124,273,342,41
23,17,29,0
32,75,67,0
146,271,336,27
21,12,36,0
23,82,69,0
112,295,350,23
18,17,34,0
28,48,98,0
145,312,318,5
21,18,30,0
19,83,72,0
103,277,361,39
15,16,38,0
22,39,113,0
115,313,341,11
28,16,25,0
21,90,63,0
124,258,346,52
29,5,35,0
15,99,60,0
92,267,331,90
22,6,41,0
33,66,75,0
122,268,352,38
35,8,26,0
19,108,47,0
141,228,337,74
38,4,27,0
25,58,91,0
119,298,343,20
25,18,26,0
33,56,85,0
124,293,342,21
30,11,28,0
22,88,64,0
124,263,345,48
23,17,29,0
26,56,92,0
104,310,358,8
24,16,29,0
12,131,31,0
96,231,237,216
20,8,41,0
25,71,78,0
115,292,332,41
28,11,30,0
16,123,35,0
85,244,314,137
13,13,43,0
31,76,67,0
104,284,353,39
24,11,34,0
33,74,67,0
111,285,340,44
27,16,26,0
29,75,70,0
141,273,343,23
23,14,32,0
23,82,69,0
93,290,350,47
22,11,36,0
21,102,51,0
110,247,352,71
24,5,40,0
24,91,59,0
113,269,359,39
27,10,32,0
21,64,89,0
98,307,346,29
29,15,25,0
15,60,99,0
107,317,330,26
21,16,32,0
26,94,54,0
128,250,344,58
29,5,35,0
