split,zero_output,linear_in_input,constant_output
109,188,250,0
20,9,26,0
75,80,104,0
92,194,261,0
25,10,20,0
100,106,53,0
135,124,288,0
29,3,23,0
87,78,94,0
105,191,251,0
19,10,26,0
79,96,84,0
123,157,267,0
28,10,17,0
75,76,108,0
117,187,243,0
28,9,18,0
65,80,114,0
76,190,281,0
12,14,29,0
73,78,108,0
95,187,265,0
24,4,27,0
70,66,123,0
99,223,225,0
24,9,22,0
73,64,122,0
85,206,256,0
22,9,24,0
58,65,136,0
86,215,246,0
18,7,30,0
81,104,74,0
105,159,283,0
23,10,22,0
80,88,91,0
118,202,227,0
22,11,22,0
84,98,77,0
87,175,285,0
26,10,19,0
92,116,51,0
52,151,344,0
14,13,28,0
93,110,56,0
109,141,297,0
26,6,23,0
77,97,85,0
105,175,267,0
27,7,21,0
73,88,98,0
111,171,265,0
21,10,24,0
69,89,101,0
103,199,245,0
7,19,29,0
83,107,69,0
89,153,305,0
22,7,26,0
61,82,116,0
72,189,286,0
16,19,20,0
57,62,140,0
84,207,256,0
24,15,16,0
73,75,111,0
83,193,271,0
21,14,20,0
77,83,99,0
98,186,263,0
21,8,26,0
65,68,126,0
85,208,254,0
16,13,26,0
74,90,95,0
115,174,258,0
25,6,24,0
80,89,90,0
85,187,275,0
16,16,23,0
79,78,102,0
77,198,272,0
15,11,29,0
69,81,109,0
98,208,241,0
20,14,21,0
81,78,100,0
112,184,251,0
26,8,21,0
97,111,51,0
107,132,308,0
25,4,26,0
88,93,78,0
110,155,282,0
25,10,20,0
93,131,35,0
84,102,361,0
22,6,27,0
74,64,121,0
100,202,245,0
24,8,23,0
60,90,109,0
86,173,288,0
13,17,25,0
90,119,50,0
62,146,339,0
15,13,27,0
74,100,85,0
80,180,287,0
14,15,26,0
93,95,71,0
96,164,287,0
23,8,24,0
89,92,78,0
126,174,247,0
25,10,20,0
97,127,35,0
78,125,344,0
11,14,30,0
84,98,77,0
99,150,298,0
28,6,21,0
79,117,63,0
75,161,311,0
13,11,31,0
96,120,43,0
101,126,320,0
28,4,23,0
88,103,68,0
99,151,297,0
24,8,23,0
83,88,88,0
131,184,232,0
15,10,30,0
73,86,100,0
111,181,253,2
31,7,17,0
77,95,87,0
104,161,282,0
27,5,23,0
85,107,67,0
96,148,303,0
25,6,24,0
98,129,32,0
66,116,365,0
12,11,32,0
72,110,77,0
86,164,297,0
